Time,y_displacement,x_displacement
1,-5.47229447367142,-0.299438700755223
2,-5.20754657420532,-0.298572011626645
3,-4.67805077527313,-0.29683863336949
4,-3.62486696685716,-0.288718189605863
5,-2.04799514895742,-0.274210680335763
6,-0.335845486600412,-0.261596670126033
7,1.12317185518733,-0.259156723543516
8,1.94064671137931,-0.275171405155054
9,1.95060033662046,-0.326921173164722
10,1.41197284092846,-0.408885651194626
11,0.573732342335893,-0.495144151938652
12,-0.315153041124644,-0.559775988090687
13,-1.00571519142056,-0.576860472344617
14,-1.52445963831727,-0.526341173222181
15,-2.03736512716981,-0.425498548927456
16,-2.5046733633301,-0.304417246677832
17,-2.88662605215001,-0.1931819136907
18,-3.14346489898144,-0.12187719718345
19,-3.15937559786649,-0.0997442067441821
20,-2.96086367857055,-0.106726510894637
21,-2.72165060003049,-0.128962445252663
22,-2.61545782118315,-0.15259034543611
23,-2.81600680096538,-0.163748547062827
24,-3.56615982435027,-0.155527954841846
25,-4.75010258537992,-0.137169678361268
26,-6.0035416565947,-0.119037360557544
27,-6.96218361053496,-0.111494644367126
28,-7.26173501974108,-0.124905172726463
29,-6.59443019855313,-0.173101602298124
30,-5.20313143194421,-0.249174837791142
31,-3.5494872484042,-0.332375894211665
32,-2.09514617642298,-0.401955786565841
33,-1.30175674449042,-0.437165529859818
34,-1.39077485580831,-0.427150415392997
35,-2.05443482471673,-0.385743099827945
36,-2.96055279641299,-0.329225646215563
37,-3.77694491609446,-0.273880117606748
38,-4.17142732895845,-0.235988577052399
39,-4.02657375293446,-0.21310105132374
40,-3.56384009122427,-0.19436283172017
41,-2.95936576693364,-0.183448878084856
42,-2.38929020316834,-0.184034150260962
43,-2.02975282303414,-0.199793608091654
44,-1.88058468940278,-0.242888276622763
45,-1.82435952020372,-0.310868182625512
46,-1.86133072112939,-0.385491788531154
47,-1.99175169787221,-0.448517556770942
48,-2.21587585612459,-0.481703949776128
49,-2.62936558727389,-0.478248897332522
50,-3.23205195419184,-0.450313424485955
51,-3.8804413697974,-0.408100636557714
52,-4.43104024700952,-0.361813638869081
53,-4.74035499874718,-0.321655536741342
54,-4.73092229644757,-0.283788179447899
55,-4.49840453149806,-0.241409496774561
56,-4.15899669674284,-0.200276714811227
57,-3.82889378502609,-0.166147059647792
58,-3.624290789192,-0.144777757374154
59,-3.6654152022396,-0.133493960392565
60,-3.87480369560612,-0.128457517976427
61,-4.07211502979297,-0.133680701522362
62,-4.07700796530164,-0.153175782426993
63,-3.70914126263354,-0.190955032086941
64,-2.71927753924775,-0.261517071421646
65,-1.22764428814332,-0.362187052833358
66,0.391902416868366,-0.471217044942922
67,1.76550650197592,-0.56685911637118
68,2.51931189336791,-0.627365335738976
69,2.47639834883665,-0.647233438593514
70,1.88600325092306,-0.640962045854232
71,1.01350696293873,-0.616804554200323
72,0.124289848195199,-0.583014360310984
73,-0.516267729995943,-0.547844860865408
74,-0.872053175653168,-0.505532699456155
75,-1.11998673098418,-0.45057561163043
76,-1.3142372899613,-0.391618631999392
77,-1.50897374655682,-0.337306795174199
78,-1.75836499474307,-0.296285135766011
79,-2.13106672223621,-0.269023609938759
80,-2.59096633305472,-0.249758861285004
81,-3.03508029562432,-0.237785955558848
82,-3.36042507837075,-0.232399958514394
83,-3.46401714971972,-0.232895935905745
84,-3.21715564784129,-0.246856964905897
85,-2.68849626045163,-0.274753001678781
86,-2.07109028029568,-0.305209430464904
